Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
West 65-premium stan sa garažnim mestom,2200,96,3,Beograd,Opština Novi Beograd,Blok 65,Omladinskih Brigada,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-premium-stan-sa-garaznim-mestom/5425646953407?kid=4
Lux petosoban stan,1100,130,5,Beograd,Opština Palilula,Bogoslovija,Sloga 5,IV,4,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-petosoban-stan/5425646678244?kid=4
Izdajem nov trosoban stan sa podnim grejanjem,400,55,3,Beograd,Opština Zemun,Batajnica,Jasenovačkih mučenika,VPR,1,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-trosoban-stan-sa-podnim-grejanjem/5425646965813?kid=4
"Dvosoban stan, novogradnja, 40m2, Alaska, vlasnik",450,40,2,Beograd,Opština Zemun,Gornji grad,Alaska,IV,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dvosoban-stan-novogradnja-40m2-alaska-vlasnik/5425646965812?kid=4
Centar - Beograd na vodi BW #66466,1600,75,3,Beograd,Opština Savski venac,Beograd na vodi,Luke Celovica Trebinjca,I,8,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---beograd-na-vodi-bw-66466/5425646845542?kid=4
Bežanijska kosa - Bezanijska kosa 2 #66497,450,55,2,Beograd,Opština Novi Beograd,Bežanijska kosa 2,Nedeljka Gvozdenovica,II,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bezanijska-kosa---bezanijska-kosa-2-66497/5425646857586?kid=4
Zemun - Gornji grad #66784,650,80,3,Beograd,Opština Zemun,Gornji grad,Živka Petrovića,I,2,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---gornji-grad-66784/5425646941183?kid=4
Centar - Zvezdara kluz #66841,600,60,3,Beograd,Opština Zvezdara,Kluz,Hercegovacka,VI,7,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---zvezdara-kluz-66841/5425646965249?kid=4
"Stan Slavija,Vracar",700,45,1.5,Beograd,Opština Vračar,Slavija,Kralja Milutina,V,9,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-slavija-vracar/5425646965806?kid=4
"Tih, 2-soban stan na gornjem Dorćolu",700,40,2,Beograd,Opština Stari grad,Dorćol,Gospodar Jevremova,IV,6,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/tih-2-soban-stan-na-gornjem-dorcolu/5425646804607?kid=4
Vračar Hadži Djerina,1400,85,2.5,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Hadži Đerina,II,5,Owner,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-hadzi-djerina/5425646964925?kid=4
Lux nov 3.0 opremljen stan+garaza,1200,70,3,Beograd,Opština Voždovac,Trošarina,Beranska,III,,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-nov-3-0-opremljen-stangaraza/5425646964923?kid=4
Izdaje se lux stan 145 m2 – Hram Sv. Save-Garaža I,2000,145,4.5,Beograd,Opština Vračar,Hram svetog Save,Patrijarha Varnave,IV,5,Agency,3/30/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-lux-stan-145-m2-hram-sv-save-garaza/5425645749782?kid=4
